,u,v,r,x0,y0,psi,delta,thrust,beta,U,u1d,v1d,r1d
0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2617993877991494,30,-0.0,2.0,-0.07334809365648647,0.13581679413990647,-0.16971716209407975
0.009999999999999998,1.9992670203525555,0.0013580946695771795,-0.001683438658065959,0.019996334870211213,6.7368691228562676e-06,-8.44261537236977e-06,0.2617993877991494,30,-0.0006792961854805758,1.9992674816268374,-0.07324653785170959,0.13579975167130134,-0.1669791951037437
0.019999999999999997,1.9985350836629805,0.0027159553753373514,-0.003339733792156424,0.03998534473732873,2.6714124324543955e-05,-3.358006217986812e-05,0.2617993877991494,30,-0.0013589722420144354,1.9985369291172472,-0.07314018287777087,0.1357704807010518,-0.1642871196080567
0.029999999999999995,1.997804234715414,0.004073462025485962,-0.004969338224891201,0.05996704154382571,5.9599386380075175e-05,-7.514440287070664e-05,0.2617993877991494,30,-0.0020389667364384546,1.9978083875436388,-0.07302944642319897,0.13572926522246084,-0.16164014674895238
0.039999999999999994,1.9970745113882011,0.005430499359087577,-0.006572691278787939,0.07994143898048943,0.00010506802294964613,-0.00013287544087622004,0.2617993877991494,30,-0.002719220511529852,1.9970818947553732,-0.07291472569099268,0.13567637928713727,-0.15903750974973221
0.04999999999999999,1.9963459515596882,0.006786952115206752,-0.008150232276364282,0.09990855073810707,0.00016279540169345297,-0.0002065129796277429,0.2617993877991494,30,-0.0033996742711382513,1.9963574882840427,-0.07279639888867401,0.13561209667702598,-0.15647844303792044
0.05999999999999999,1.9956185353040936,0.008142757452094177,-0.009702247892521665,0.1198684008719815,0.0002325460803638475,-0.0002958839453856214,0.2617993877991494,30,-0.004080294965659584,1.995635147753261,-0.07267482338958531,0.1355365856119736,-0.15396242153520148
0.06999999999999999,1.9948923405948598,0.009497761609018144,-0.01122928935925045,0.1398209957337995,0.0003139301112394043,-0.0004006641400976085,0.2617993877991494,30,-0.004761003715950745,1.9949149500767243,-0.07255034437805061,0.13545019634791083,-0.15148850625509588
0.07999999999999999,1.9941674557818714,0.01085180140102642,-0.012731936744369723,0.15976634103046816,0.00040654031128418847,-0.0005205131398362483,0.2617993877991494,30,-0.005441716669191116,1.9941969820690204,-0.07242328722551535,0.13535329829637194,-0.149055714209474
0.08999999999999998,1.9934438874057292,0.01220478828026017,-0.014210553099708118,0.17970445742110414,0.0005100962018616059,-0.0006552144568785438,0.2617993877991494,30,-0.006122387423964698,1.993481248743572,-0.07229395761298212,0.13524611091782243,-0.14666340388091378
0.09999999999999998,1.992721642007035,0.013556633698860555,-0.01566550147709427,0.19963536556482392,0.0006243173043350629,-0.0008045516035014978,0.2617993877991494,30,-0.006802969505119374,1.9927677548677014,-0.0721626465020044,0.13512885347970352,-0.14431093494051972
